Time;Prop;Hx;LPG2;CO;CH4a;H2;Alco;LPG1;NOX;CL2;O3;CO2;Tolue;H2S;Amon;Etn;Benz;Ast;But;CH4b;Target
160725;4.21;5.43;3.57;0.62;6.83;0.83;3.74;5.17;2.10;2.41;1.53;2.64;0.84;0.45;0.50;9.20;4.77;10.71;9.03;1.70;0
160726;4.23;5.43;4.09;0.65;6.64;0.81;3.74;5.09;2.02;2.41;1.51;2.43;0.50;0.45;0.51;9.28;4.72;10.71;9.03;1.83;0
160727;4.42;5.44;3.65;0.65;6.83;0.83;3.74;5.21;2.02;2.36;1.51;2.54;0.50;0.47;0.52;9.28;4.77;10.87;9.18;2.12;0
160728;4.27;5.46;3.65;0.70;6.64;0.83;3.68;5.17;2.10;2.43;1.56;2.43;0.58;0.48;0.54;9.53;4.77;10.79;9.50;2.27;0
160729;4.27;5.48;3.57;0.70;6.83;0.81;3.88;5.13;2.10;2.43;1.54;3.11;0.52;0.50;0.55;9.44;4.77;10.79;9.66;2.62;0
160730;4.23;5.48;3.65;0.65;7.02;0.84;3.68;5.34;2.18;2.46;1.53;2.64;0.52;0.49;0.55;9.36;4.82;10.87;9.66;2.62;0
160731;4.27;5.48;3.82;0.65;7.21;0.83;3.71;5.25;2.06;2.59;1.54;2.54;0.52;0.49;0.54;9.36;4.82;10.95;9.50;2.62;0
160732;4.34;5.48;3.73;0.65;6.83;0.83;3.71;5.21;2.06;2.56;1.51;2.64;0.50;0.50;0.54;9.28;4.77;10.95;9.50;2.44;0
160733;4.27;5.48;3.65;0.65;6.83;0.83;3.68;5.29;2.02;2.38;1.53;2.64;0.52;0.49;0.53;9.20;4.77;10.87;9.26;2.44;0
160734;4.27;5.49;3.65;0.67;6.83;0.84;3.68;5.34;2.06;2.38;1.51;2.64;0.52;0.49;0.53;9.36;4.91;10.95;9.26;2.12;0
160734;4.25;5.50;3.57;0.65;6.83;0.84;3.68;5.34;2.14;2.51;1.51;3.50;0.52;0.49;0.53;9.36;4.87;10.95;9.26;2.27;0
160735;4.25;5.51;3.57;0.65;7.02;0.81;3.84;5.38;2.31;2.43;1.57;2.64;0.55;0.49;0.53;9.36;4.82;10.95;9.26;2.27;0
160736;4.25;5.50;3.65;0.65;7.02;0.81;3.71;5.38;2.06;2.54;1.51;2.33;0.52;0.49;0.53;9.53;4.91;10.95;9.34;2.27;0
160737;4.25;5.53;3.73;0.65;7.41;0.81;3.91;5.47;2.06;2.41;1.51;3.11;0.80;0.49;0.52;9.28;4.82;11.03;9.11;2.12;0
160738;4.29;5.54;3.82;0.70;6.83;0.81;3.71;5.51;2.02;2.36;1.51;2.64;0.70;0.49;0.53;9.36;4.87;10.95;9.11;2.12;0
160739;4.34;5.54;3.57;0.65;6.83;0.83;3.71;5.55;1.98;2.36;1.51;2.64;0.55;0.49;0.52;9.53;4.82;11.03;9.34;2.27;0
160740;4.61;5.53;3.57;0.65;6.83;0.84;3.68;5.60;2.23;2.36;1.51;2.54;0.50;0.49;0.54;9.69;4.91;11.03;9.11;1.97;0
160741;4.23;5.56;3.65;0.65;6.64;0.85;3.71;5.55;2.10;2.38;1.50;2.64;0.61;0.52;0.56;9.53;4.96;11.03;9.74;2.81;0
160742;4.25;5.59;3.91;0.65;7.41;0.85;3.78;5.55;2.06;2.41;1.56;2.54;0.52;0.56;0.60;9.61;4.87;11.03;9.99;3.23;0
160743;4.27;5.59;4.09;0.67;7.21;0.83;3.78;5.64;1.98;2.41;1.54;2.54;0.52;0.56;0.60;9.53;4.96;11.03;9.83;3.46;0
160744;4.27;5.60;3.48;0.62;7.21;0.83;3.71;5.64;2.14;2.41;1.53;2.54;0.52;0.56;0.59;9.53;4.96;11.11;9.91;3.23;0
160745;4.51;5.60;3.65;0.65;7.02;0.81;3.71;5.64;2.10;2.36;1.50;2.43;0.61;0.55;0.57;9.69;4.91;10.95;9.83;3.23;0
160746;4.25;5.59;3.65;0.65;7.41;0.83;3.68;5.69;2.18;2.36;1.51;2.54;0.58;0.53;0.57;9.61;4.91;11.11;9.66;3.23;0
160747;4.29;5.60;3.57;0.81;7.02;0.83;3.71;5.69;2.02;2.38;1.51;2.64;0.55;0.54;0.56;9.53;4.91;11.19;9.58;3.23;0
160748;4.27;5.61;3.57;0.65;7.02;0.81;3.71;5.73;2.02;2.36;1.51;2.43;0.52;0.54;0.57;9.53;4.87;11.52;9.50;2.81;0
160749;4.29;5.61;3.48;0.62;7.21;0.81;3.68;5.73;2.02;2.51;1.51;2.54;0.55;0.54;0.57;9.69;4.96;11.19;9.50;3.01;0
160750;4.30;5.59;3.65;0.65;7.02;0.81;3.71;5.82;2.02;2.36;1.50;3.37;0.52;0.54;0.56;9.53;4.91;11.19;9.34;2.81;0
160751;4.27;5.62;3.65;0.65;7.02;0.81;3.74;5.78;1.98;2.33;1.56;2.76;0.52;0.54;0.56;9.36;4.91;11.19;9.50;2.27;0
160752;4.27;5.64;3.65;0.65;6.83;0.83;3.68;5.91;2.02;2.38;1.51;2.54;0.55;0.56;0.57;9.53;5.01;11.19;9.50;2.81;0
160753;4.79;5.62;3.91;0.65;7.02;0.81;3.68;5.87;1.98;2.36;1.50;2.54;0.55;0.55;0.59;9.61;4.96;11.27;9.50;2.81;0
160754;4.27;5.64;3.57;0.65;7.41;0.84;3.68;5.91;2.02;2.38;1.48;2.54;0.52;0.55;0.58;9.69;4.96;11.44;9.58;2.62;0
160754;4.29;5.64;3.57;0.65;7.02;0.83;3.81;5.87;2.10;2.33;1.53;2.54;0.50;0.54;0.56;9.53;4.96;11.27;9.50;2.62;0
160755;4.30;5.65;3.57;0.67;7.02;0.81;3.74;5.87;1.95;2.33;1.48;3.50;0.52;0.55;0.56;9.53;5.10;11.19;9.58;2.44;0
160756;4.55;5.66;3.65;0.65;7.02;0.83;3.84;5.91;1.98;2.36;1.50;2.54;0.52;0.57;0.59;9.61;4.96;11.27;9.50;2.81;0
160757;4.36;5.59;3.65;0.65;7.02;0.83;3.68;5.96;2.02;2.38;1.50;2.54;0.58;0.59;0.60;9.69;5.06;11.44;9.74;2.81;0
160758;4.30;5.61;3.73;0.67;6.83;0.83;3.71;5.96;2.18;2.36;1.48;2.54;0.52;0.58;0.60;9.69;5.01;11.19;9.66;2.62;0
160759;4.51;5.65;3.65;0.70;6.64;0.80;3.78;6.05;1.95;2.38;1.48;2.64;0.88;0.58;0.60;9.69;5.06;11.35;9.50;2.62;0
160800;4.27;5.66;3.82;0.75;6.83;0.84;3.68;6.05;1.95;2.36;1.54;2.64;0.52;0.57;0.59;9.61;5.06;11.35;9.58;2.44;0
160801;4.46;5.67;4.00;0.67;7.02;0.81;3.68;6.05;1.91;2.31;1.48;2.54;0.67;0.57;0.59;9.69;5.01;11.27;9.50;2.44;0
160802;4.29;5.67;3.57;0.65;7.02;0.81;3.71;6.05;1.87;2.38;1.47;2.54;0.55;0.57;0.59;9.69;5.06;11.19;9.50;2.44;0
160803;4.53;5.68;3.65;0.67;7.21;0.84;3.71;6.15;1.95;2.33;1.47;2.54;0.64;0.58;0.59;9.61;5.06;11.27;9.50;2.12;0
160804;4.34;5.67;3.57;0.72;7.41;0.81;3.74;6.15;1.91;2.28;1.47;3.11;0.77;0.57;0.59;9.95;5.06;11.27;9.50;1.83;0
160805;4.30;5.66;3.57;0.78;6.83;0.83;3.74;6.24;1.87;2.28;1.48;2.64;0.52;0.57;0.57;9.53;5.10;11.52;9.26;1.97;0
160806;4.30;5.68;4.09;0.97;6.83;0.81;3.68;6.19;1.91;2.26;1.45;2.64;0.52;0.58;0.59;9.86;5.01;11.35;9.42;1.83;0
160807;4.65;5.68;3.73;0.67;6.83;0.81;3.68;6.24;1.83;2.26;1.44;4.21;0.73;0.58;0.59;9.69;5.10;11.44;9.26;1.70;0
160808;4.30;5.70;3.57;0.67;6.83;0.80;3.88;6.34;1.80;2.41;1.45;2.54;0.55;0.59;0.59;9.78;5.15;11.52;9.34;1.83;0
160809;4.53;5.69;3.48;0.67;6.64;0.81;3.71;6.29;1.87;2.23;1.42;2.43;0.52;0.60;0.60;9.69;5.15;11.52;9.34;1.83;0
160810;4.34;5.69;3.82;0.65;6.45;0.83;3.81;6.29;1.80;2.23;1.42;2.43;0.55;0.60;0.59;9.78;5.06;11.35;9.34;1.58;0
160811;4.49;5.69;3.57;0.75;6.64;0.83;3.74;6.34;1.80;2.26;1.42;3.50;0.55;0.61;0.60;9.95;5.01;11.35;9.34;1.70;0
160812;4.30;5.70;3.65;0.70;6.83;0.83;3.68;6.43;1.83;2.23;1.42;2.64;0.55;0.62;0.61;9.86;5.15;11.44;9.50;1.58;0
160813;4.29;5.71;3.73;0.70;6.64;0.81;3.71;6.43;1.80;2.18;1.42;2.54;0.52;0.62;0.61;9.86;5.10;11.44;9.34;1.47;0
160813;4.29;5.71;3.65;0.67;7.02;0.84;4.01;6.43;1.95;2.21;1.41;2.54;0.64;0.64;0.62;9.95;5.20;11.44;9.42;1.58;0
160814;4.32;5.71;3.57;0.67;6.83;0.84;3.91;6.34;1.72;2.18;1.41;2.54;0.55;0.64;0.63;10.03;5.15;11.35;9.50;1.58;0
160815;4.34;5.71;3.65;0.65;7.02;0.80;3.74;6.38;1.72;2.28;1.39;2.64;0.52;0.66;0.63;10.29;5.15;11.52;9.50;1.47;0
160816;4.63;5.72;3.65;0.87;6.45;0.84;3.68;6.38;1.72;2.16;1.42;3.50;0.55;0.67;0.65;10.29;5.20;11.52;9.50;1.58;0
160817;4.34;5.72;3.65;0.67;6.83;0.83;3.71;6.38;1.72;2.16;1.39;2.54;0.50;0.68;0.65;10.20;5.10;11.52;9.66;1.58;0
160818;4.47;5.74;3.48;0.70;6.64;0.85;3.71;6.48;1.72;2.18;1.38;3.37;0.55;0.73;0.67;10.55;5.15;11.52;9.74;1.47;0
160819;4.32;5.74;3.65;0.67;6.45;0.83;3.78;6.48;1.72;2.18;1.39;2.54;0.58;0.72;0.68;10.38;5.15;11.76;9.83;1.70;0
160820;4.32;5.75;3.73;0.67;6.64;0.81;3.74;6.48;1.69;2.16;1.36;3.24;0.80;0.73;0.68;10.46;5.15;11.52;9.83;1.58;0
160821;4.49;5.74;3.65;0.67;7.02;0.85;3.74;6.48;1.69;2.16;1.36;2.54;0.55;0.75;0.69;10.55;5.10;11.52;9.83;1.47;0
160822;4.30;5.76;3.65;0.67;6.64;0.80;3.81;6.73;1.69;2.16;1.45;2.64;0.52;0.76;0.69;10.46;5.10;11.44;9.83;1.70;0
160823;4.32;5.76;3.73;0.67;7.41;0.81;3.71;6.63;1.65;2.18;1.36;2.43;0.52;0.78;0.72;10.64;5.20;11.44;9.99;1.83;0
160824;4.32;5.78;3.65;0.65;7.02;0.84;3.71;6.58;1.91;2.21;1.38;2.64;0.52;0.81;0.73;10.64;5.15;11.52;10.07;1.83;0
160825;4.53;5.79;3.65;0.67;7.02;0.80;3.91;6.63;1.76;2.23;1.48;2.99;0.52;0.96;0.91;11.54;5.15;11.44;11.35;3.96;0
160826;4.30;5.87;3.65;0.70;7.61;0.80;3.74;6.68;1.83;2.28;1.44;2.54;0.52;1.01;0.95;11.72;5.15;11.52;11.98;5.92;0
160827;4.40;5.90;3.65;0.70;7.82;0.81;3.78;6.63;1.87;2.28;1.45;2.64;0.52;1.04;0.96;12.10;5.25;11.52;12.17;7.69;0
160828;4.30;5.90;3.65;0.70;8.24;0.81;3.74;6.68;1.95;2.33;1.45;2.64;0.84;1.06;0.96;11.82;5.15;11.52;12.07;8.74;0
160829;4.30;5.90;3.57;0.70;8.24;0.83;3.74;6.68;1.87;2.26;1.47;2.43;0.70;1.03;0.91;11.27;5.15;11.76;11.80;9.32;0
160830;4.32;5.87;3.73;0.65;8.03;0.83;3.78;6.73;1.91;2.26;1.44;2.54;0.52;0.98;0.88;11.36;5.15;11.44;11.35;9.32;0
160831;4.36;5.86;3.73;0.70;8.24;0.81;3.78;6.88;1.87;2.26;1.42;2.64;0.55;0.96;0.85;11.17;5.25;11.68;11.18;7.69;0
160832;4.34;5.87;3.82;0.67;7.82;0.80;3.71;6.78;1.87;2.26;1.44;2.64;0.50;0.94;0.83;10.99;5.15;11.60;11.09;7.69;0
160833;4.32;5.86;3.57;0.67;8.24;0.81;3.74;6.78;1.87;2.36;1.50;2.54;0.55;0.92;0.83;10.91;5.15;11.52;11.00;7.69;0
